,syn,cluster,shared,pf_index
600,48,2,False,417
601,48,2,False,418
602,48,2,False,419
603,48,2,True,183
604,48,2,False,420
605,48,2,False,421
606,48,2,False,422
607,48,2,False,423
608,49,2,False,424
609,49,2,False,425
610,49,2,False,426
611,49,2,True,184
612,49,2,False,427
613,49,2,True,185
614,49,2,False,428
615,49,2,False,429
616,50,2,True,186
617,50,2,False,430
618,50,2,True,187
619,50,2,False,431
620,50,2,False,432
621,50,2,False,433
622,50,2,True,188
623,50,2,False,434
624,51,2,False,435
625,51,2,False,436
626,51,2,True,189
627,51,2,False,437
628,51,2,False,438
629,51,2,True,190
630,51,2,False,439
631,51,2,False,440
632,52,2,False,441
633,52,2,False,442
634,52,2,False,443
635,52,2,False,444
636,52,2,False,445
637,52,2,True,191
638,52,2,True,192
639,52,2,True,193
640,52,2,False,446
641,52,2,False,447
642,52,2,False,448
643,52,2,False,449
644,52,2,True,194
645,52,2,False,450
646,52,2,False,451
647,53,2,False,452
648,53,2,False,453
649,53,2,False,454
650,53,2,False,455
651,53,2,True,195
652,53,2,False,456
653,53,2,True,196
654,53,2,False,457
655,53,2,False,458
656,53,2,True,197
657,53,2,False,459
658,53,2,False,460
659,53,2,False,461
660,53,2,True,198
661,53,2,True,199
662,54,2,False,462
663,54,2,True,200
664,54,2,False,463
665,54,2,False,464
666,54,2,True,201
667,54,2,True,202
668,54,2,False,465
669,54,2,False,466
670,54,2,True,203
671,54,2,False,467
672,54,2,False,468
673,54,2,False,469
674,54,2,False,470
675,54,2,True,204
676,54,2,False,471
677,55,2,False,472
678,55,2,False,473
679,55,2,False,474
680,55,2,False,475
681,55,2,False,476
682,55,2,False,477
683,55,2,False,478
684,55,2,False,479
685,55,2,False,480
686,55,2,False,481
687,55,2,False,482
688,55,2,True,205
689,55,2,False,483
690,55,2,False,484
691,55,2,False,485
692,56,2,False,486
693,56,2,False,487
694,56,2,False,488
695,56,2,True,206
696,56,2,True,207
697,56,2,False,489
698,56,2,False,490
699,56,2,False,491
700,56,2,False,492
701,56,2,False,493
702,56,2,False,494
703,56,2,True,208
704,56,2,False,495
705,56,2,True,209
706,56,2,False,496
707,57,2,False,497
708,57,2,False,498
709,57,2,True,210
710,57,2,True,211
711,57,2,False,499
712,57,2,False,500
713,57,2,False,501
714,57,2,False,502
715,57,2,False,503
716,57,2,False,504
717,57,2,False,505
718,57,2,True,212
719,57,2,False,506
720,57,2,False,507
721,57,2,True,213
722,58,2,True,214
723,58,2,False,508
724,58,2,False,509
725,58,2,False,510
726,58,2,False,511
727,58,2,False,512
728,58,2,False,513
729,58,2,True,215
730,58,2,False,514
731,58,2,True,216
732,58,2,False,515
733,58,2,False,516
734,58,2,False,517
735,58,2,False,518
736,58,2,False,519
737,59,2,False,520
738,59,2,False,521
739,59,2,False,522
740,59,2,False,523
741,59,2,False,524
742,59,2,False,525
743,59,2,False,526
744,59,2,False,527
745,59,2,False,528
746,59,2,False,529
747,60,2,False,530
748,60,2,False,531
749,60,2,False,532
750,60,2,False,533
751,60,2,False,534
752,60,2,False,535
753,60,2,False,536
754,60,2,False,537
755,60,2,False,538
756,60,2,True,217
757,61,2,False,539
758,61,2,False,540
759,61,2,False,541
760,61,2,False,542
761,61,2,False,543
762,61,2,False,544
763,61,2,False,545
764,61,2,False,546
765,61,2,True,218
766,61,2,True,219
767,62,2,True,220
768,62,2,False,547
769,62,2,False,548
770,62,2,False,549
771,62,2,False,550
772,63,2,False,551
773,63,2,False,552
774,63,2,True,221
775,63,2,False,553
776,63,2,False,554
777,63,2,False,555
778,63,2,False,556
779,63,2,False,557
780,63,2,False,558
781,63,2,False,559
782,63,2,False,560
783,63,2,False,561
784,63,2,False,562
785,63,2,False,563
786,63,2,False,564
787,63,2,False,565
788,64,4,False,566
789,64,4,False,567
790,64,4,True,222
791,64,4,False,568
792,64,4,False,569
793,64,4,False,570
794,64,4,False,571
795,64,4,False,572
796,64,4,True,223
797,64,4,False,573
798,64,4,True,224
799,64,4,False,574
800,64,4,False,575
801,64,4,False,576
802,64,4,False,577
803,64,4,False,578
804,65,4,False,579
805,65,4,False,580
806,65,4,False,581
807,65,4,False,582
808,65,4,False,583
809,65,4,False,584
810,65,4,False,585
811,65,4,False,586
812,65,4,True,225
813,65,4,False,587
814,65,4,False,588
815,65,4,False,589
816,65,4,False,590
817,65,4,False,591
818,65,4,True,226
819,65,4,False,592
820,66,4,False,593
821,66,4,False,594
822,66,4,False,595
823,66,4,False,596
824,66,4,True,227
825,66,4,True,228
826,66,4,False,597
827,66,4,False,598
828,66,4,False,599
829,66,4,True,229
830,66,4,False,600
831,66,4,True,230
832,66,4,False,601
833,67,4,False,602
834,67,4,False,603
835,67,4,False,604
836,67,4,False,605
837,67,4,False,606
838,67,4,False,607
839,67,4,True,231
840,67,4,False,608
841,67,4,False,609
842,67,4,False,610
843,67,4,False,611
844,67,4,False,612
845,67,4,False,613
846,67,4,True,232
847,67,4,False,614
848,67,4,False,615
849,67,4,False,616
850,67,4,True,233
851,67,4,False,617
852,67,4,False,618
853,67,4,False,619
854,68,4,False,620
855,68,4,True,234
856,68,4,True,235
857,68,4,False,621
858,68,4,False,622
859,69,2,False,623
860,69,2,True,236
861,69,2,False,624
862,69,2,False,625
863,70,2,True,237
864,70,2,True,238
865,70,2,False,626
866,70,2,False,627
867,70,2,False,628
868,70,2,False,629
869,70,2,False,630
870,70,2,False,631
871,70,2,False,632
872,70,2,False,633
873,71,2,False,634
874,71,2,False,635
